"","state","city","pop","household_income_mean","household_income_median","debt.proportion","hs.degree.proportion","married.proportion"
"1","Alabama","Abbeville",4861,44701.264275,31198,0.4921,0.71512,0.463145
"2","Alabama","Adamsville",3319,52328.58293,44432,0.57373,0.79231,0.48744
"3","Alabama","Akron",1512,46507.12636,34225,0.43438,0.84026,0.51299
"4","Alabama","Alabaster",16032,79508.0987525,73866.5,0.6866675,0.87371,0.589545
"5","Alabama","Alberta",980,28193.72702,18365,0.14968,0.51836,0.26829
"6","Alabama","Albertville",18885,49896.427045,31681,0.60009,0.74375,0.5460625
"7","Alabama","Alexander City",6339,50561.27254,35683,0.53371,0.77889,0.6076
"8","Alabama","Alpine",2573,55864.89698,35081,0.55393,0.77701,0.5351
"9","Alabama","Altoona",4753,39172.3755,27616,0.54658,0.69633,0.54677
"10","Alabama","Andalusia",7958,56936.05737,42829,0.42994,0.83665,0.58273
"11","Alabama","Anniston",20205,37945.100565,23701.5,0.417251666666667,0.727688333333333,0.40194
"12","Alabama","Arab",10571,59793.767115,42608.5,0.5319,0.862315,0.606695
"13","Alabama","Ariton",3543,62521.69097,47679,0.52236,0.78902,0.55419
"14","Alabama","Ashford",7812,52689.82826,41494,0.52368,0.82702,0.53705
"15","Alabama","Ashland",3426,40698.31255,27537,0.50238,0.76121,0.56891
"16","Alabama","Athens",38264,59693.19502,41794,0.598747142857143,0.792885714285714,0.537115714285714
"17","Alabama","Atmore",7761,41300.61591,33930.5,0.419705,0.830565,0.52667
"18","Alabama","Attalla",4208,56870.44552,48854,0.49702,0.823805,0.58345
"19","Alabama","Attlla",5068,49289.86902,39764,0.50322,0.75762,0.53565
"20","Alabama","Auburn",38030,64087.7975814286,39688,0.678531428571429,0.948977142857143,0.384692857142857
"21","Alabama","Baileyton",5481,46191.31244,34979,0.52655,0.80413,0.68387
"22","Alabama","Banks",1896,47179.17424,34303,0.40167,0.83703,0.52062
"23","Alabama","Bay Minette",12776,64165.14234,46498.5,0.57902,0.86562,0.58893
"24","Alabama","Beatrice",1319,34287.94828,19747,0.29058,0.80622,0.35421
"25","Alabama","Bessemer",24219,51764.846194,24524,0.553772,0.790902,0.356604
"26","Alabama","Birmingham",133518,51178.4331174359,27613,0.602514358974359,0.860744358974359,0.391446923076923
"27","Alabama","Blountsville",4764,48633.86723,39326,0.40919,0.73063,0.63178
"28","Alabama","Boaz",10812,47810.19806,40384.5,0.44131,0.745875,0.49545
"29","Alabama","Boligee",3438,31131.52703,17329,0.20627,0.8012,0.32093
"30","Alabama","Bon Secour",4946,65780.88654,35137,0.47179,0.92525,0.61057
"31","Alabama","Brantley",1542,54985.55145,32461,0.42315,0.79371,0.56333
"32","Alabama","Bremen",2422,57937.89889,43448,0.62967,0.80855,0.58333
"33","Alabama","Brewton",10681,47964.6407833333,38795,0.413266666666667,0.84023,0.479416666666667
"34","Alabama","Bridgeport",3383,41164.07624,32977,0.53706,0.7816,0.50931
"35","Alabama","Brundidge",4048,38114.99867,28402,0.36355,0.71963,0.55276
"36","Alabama","Butler",4313,43790.97772,30462,0.39262,0.80075,0.54268
"37","Alabama","Calera",9529,72145.01931,65328,0.682695,0.86507,0.704885
"38","Alabama","Camden",7175,38807.809845,24294,0.35983,0.79191,0.3967
"39","Alabama","Carbon Hill",3369,43361.32574,28394,0.40999,0.69047,0.51266
"40","Alabama","Carrollton",3784,36645.35742,26114,0.38105,0.70187,0.47042
"41","Alabama","Center Point",5268,47925.85172,42461,0.73872,0.88272,0.44593
"42","Alabama","Centre",8707,54251.10925,38977,0.48494,0.802885,0.71526
"43","Alabama","Centreville",8371,46453.06236,33919,0.4977,0.76434,0.42177
"44","Alabama","Chatom",3407,56683.17294,42935,0.43572,0.83693,0.59858
"45","Alabama","Chelsea",15339,88529.4156933333,76601,0.730433333333333,0.935913333333333,0.636816666666667
"46","Alabama","Chickasaw",3449,55774.43932,45581.5,0.61837,0.906205,0.50474
"47","Alabama","Clanton",9313,56469.910695,43570,0.51138,0.816925,0.59469
"48","Alabama","Clayton",4320,37080.71164,27643,0.44023,0.61271,0.3171
"49","Alabama","Columbiana",8765,63401.600015,45434,0.668765,0.77335,0.552
"50","Alabama","Columbus",2040,41313.88518,38665,0.37977,0.83073,0.57616
"51","Alabama","Cordova",3158,36076.61795,24211,0.4,0.81371,0.49918
"52","Alabama","Cottondale",11833,68547.213765,56897.5,0.650765,0.89895,0.607695
"53","Alabama","Courtland",4372,46801.46705,37182,0.51909,0.86168,0.58067
"54","Alabama","Cropwell",12274,60422.122685,48411.5,0.502765,0.85447,0.615745
"55","Alabama","Cuba",4437,47039.52025,32586,0.40913,0.82133,0.552645
"56","Alabama","Cullman",45163,54568.7454577778,40203,0.581505555555556,0.82437,0.615862222222222
"57","Alabama","Dadeville",4161,62541.40145,49787,0.46171,0.86205,0.59948
"58","Alabama","Daleville",4294,50049.06523,42889,0.66156,0.86518,0.59744
"59","Alabama","Danville",8567,62007.73531,51044.5,0.5425,0.786895,0.585755
"60","Alabama","Daphne",13056,74846.03854,58162.5,0.636185,0.95098,0.595035
"61","Alabama","Dauphin Island",704,69426.68655,57204,0.43523,0.97667,0.74138
"62","Alabama","Deatsville",14358,58950.184425,46601.5,0.49186,0.824195,0.423515
"63","Alabama","Decatur",41865,54960.0245909091,34834,0.561564545454545,0.804310909090909,0.50364
"64","Alabama","Dothan",40552,51738.3447866667,35775,0.578193333333333,0.832957777777778,0.458185555555556
"65","Alabama","Double Springs",5201,37174.90043,29032,0.41455,0.73516,0.49588
